,Time,Open,High,Low,Close,Volume
117,1583012100000,8623.45,8624.71,8622.36,8622.36,8.905653
118,1583012160000,8622.0,8627.28,8620.04,8626.25,24.828498
119,1583012220000,8626.26,8627.88,8625.19,8625.19,8.350427
120,1583012280000,8625.64,8627.91,8624.6,8626.11,6.190086
121,1583012340000,8626.11,8626.81,8624.3,8624.3,5.758217
122,1583012400000,8624.3,8628.0,8624.3,8627.04,11.07474
123,1583012460000,8627.01,8627.85,8624.3,8624.98,11.140764
124,1583012520000,8625.32,8625.96,8624.31,8625.67,8.656556
125,1583012580000,8625.17,8626.03,8624.5,8626.03,5.022228
126,1583012640000,8626.01,8626.7,8624.5,8625.61,4.052338
127,1583012700000,8625.63,8630.62,8625.63,8629.84,9.915138
128,1583012760000,8629.83,8629.83,8624.5,8624.92,13.183403
129,1583012820000,8624.5,8625.13,8615.0,8617.7,137.350149
130,1583012880000,8616.09,8617.93,8615.0,8615.0,34.807532
131,1583012940000,8615.0,8617.06,8615.0,8615.28,9.206932
132,1583013000000,8615.3,8618.32,8615.0,8616.41,12.768261
133,1583013060000,8615.91,8618.02,8612.44,8613.25,53.706225
134,1583013120000,8614.06,8616.79,8610.08,8616.76,13.830114
135,1583013180000,8615.32,8630.19,8615.27,8629.61,23.910707
136,1583013240000,8629.42,8633.1,8627.81,8633.1,13.347679
137,1583013300000,8632.02,8636.07,8632.02,8635.0,17.317994
138,1583013360000,8635.0,8635.3,8629.63,8631.11,17.506613
139,1583013420000,8630.6,8631.15,8627.03,8628.47,8.409351
140,1583013480000,8628.63,8634.02,8626.46,8632.08,6.981339
141,1583013540000,8631.41,8634.58,8631.41,8634.58,6.905654
142,1583013600000,8633.26,8637.01,8632.81,8636.17,8.423185
143,1583013660000,8635.67,8637.64,8629.48,8630.59,18.775792
144,1583013720000,8630.58,8630.9,8627.47,8628.03,13.414719
145,1583013780000,8628.59,8629.34,8625.68,8625.68,11.416106
146,1583013840000,8626.86,8627.45,8624.07,8625.1,18.436711
147,1583013900000,8625.0,8626.23,8622.81,8624.76,12.634811
148,1583013960000,8623.88,8626.49,8623.61,8624.58,4.389682
149,1583014020000,8624.56,8624.86,8622.1,8623.44,6.856172
150,1583014080000,8623.41,8623.47,8622.01,8623.23,9.212521
151,1583014140000,8623.18,8623.45,8620.1,8622.15,11.620916
152,1583014200000,8621.92,8623.44,8620.13,8620.84,12.19474
153,1583014260000,8620.11,8620.75,8616.08,8617.31,15.069136
